Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
2000-05-24,Say My Name,Destiny's Child,10,7,1,23,https://charts-static.billboard.com/img/1999/11/destinys-child-xry-saymyname-dvd-180x180.jpg
2000-05-31,Maria Maria,Santana Featuring The Product G&B,1,1,1,17,#
2000-05-31,You Sang To Me,Marc Anthony,2,5,2,15,#
2000-05-31,Breathe,Faith Hill,3,2,2,31,#
2000-05-31,Thong Song,Sisqo,4,3,3,19,#
2000-05-31,He Wasn't Man Enough,Toni Braxton,5,4,2,12,https://charts-static.billboard.com/img/1992/07/toni-braxton-g7b-180x180.jpg
2000-05-31,Be With You,Enrique Iglesias,6,8,6,10,https://charts-static.billboard.com/img/1995/10/enrique-iglesias-226-180x180.jpg
2000-05-31,Everything You Want,Vertical Horizon,7,7,6,20,https://charts-static.billboard.com/img/1999/11/vertical-horizon-000-everythingyouwant-11m-180x180.jpg
2000-05-31,Try Again,Aaliyah,8,9,8,12,https://charts-static.billboard.com/img/2000/03/aaliyah-dzg-tryagain-gn1-180x180.jpg
2000-05-31,I Try,Macy Gray,9,6,5,16,#
2000-05-31,I Wanna Know,Joe,10,11,10,23,#
2000-06-07,Maria Maria,Santana Featuring The Product G&B,1,1,1,18,#
2000-06-07,You Sang To Me,Marc Anthony,2,2,2,16,#
2000-06-07,Thong Song,Sisqo,3,4,3,20,#
2000-06-07,Breathe,Faith Hill,4,3,2,32,#
2000-06-07,Be With You,Enrique Iglesias,5,6,5,11,https://charts-static.billboard.com/img/1995/10/enrique-iglesias-226-180x180.jpg
2000-06-07,Try Again,Aaliyah,6,8,6,13,https://charts-static.billboard.com/img/2000/03/aaliyah-dzg-tryagain-gn1-180x180.jpg
2000-06-07,The Real Slim Shady,Eminem,7,11,7,6,https://charts-static.billboard.com/img/2000/05/eminem-d78-therealslimshady-mdw-180x180.jpg
2000-06-07,Everything You Want,Vertical Horizon,8,7,6,21,https://charts-static.billboard.com/img/1999/11/vertical-horizon-000-everythingyouwant-11m-180x180.jpg
2000-06-07,Oops!...I Did It Again,Britney Spears,9,12,9,8,https://charts-static.billboard.com/img/1998/10/britney-spears-l78-180x180.jpg
2000-06-07,I Try,Macy Gray,10,9,5,17,#
2000-06-14,Try Again,Aaliyah,1,6,1,14,#
2000-06-14,Breathe,Faith Hill,2,4,2,33,#
2000-06-14,Everything You Want,Vertical Horizon,3,8,3,22,#
2000-06-14,Be With You,Enrique Iglesias,4,5,4,12,#
2000-06-14,You Sang To Me,Marc Anthony,5,2,2,17,https://charts-static.billboard.com/img/1991/08/marc-anthony-iab-180x180.jpg
